num,street,type,City,Zip,Page,lat,lng,Address
109,Fritts,Way,Reeds Spring,65737,21,36.7120831,-93.37675695,109 Fritts Way
331,Hunters,Drive,Reeds Spring,65737,21,36.75475763,-93.43248466,331 Hunters Dr
174,Lakeview,Lane,Galena,65656,21,36.78515833,-93.5025433,174 Lakeview  Ln
183,Leighs,Way,Reeds Spring,65737,21,36.731848,-93.387814,183 Leigns Way
287,Micahs,Crossing,Reeds Spring,65737,21,36.73182573,-93.38833703,287 Micahs Crossing
287,Micahs,Crossing,Reeds Spring,65737,21,36.73182573,-93.38833703,287 Micahs Crossing
19660,MO 413,,Reeds Spring,65737,21,36.71395749,-93.37425867,19660 State Hwy 413
30,Tightwad Estates,Lane,,65686,21,,,97 Ramonaln
60,Chad,Road,Galena,65656,22,36.65313704,-93.51348517,60 Chad Rd
32,Hillcrest,Drive,Kimberling City,65686,22,36.64566941,-93.43113596,32 Hill Crest Dr
333,Micahs,Crossing,Reeds Spring,65737,22,36.73151759,-93.38864184,333 Micahs Crossing
382,Micahs,Crossing,Reeds Spring,65737,22,36.73120829,-93.38840858,382 Micahs Crossing
382,Micahs,Crossing,Reeds Spring,65737,22,36.73120829,-93.38840858,382 Micahs Crossing
253,Plateau,Lane,Kimberling City,65686,22,36.62881676,-93.45366825,253 Plateau
6,Chevy,Lane,Lampe ,65681,23,36.56654003,-93.44325161,6 Chev Ln
27,Jan,Lane,Lampe ,65681,23,36.57129575,-93.44712043,27 Kingsgate Rd
64,L Garrison,Drive,Lampe ,65681,23,36.56804238,-93.4329189,64 L. Garrison
2745,MO 13,,Lampe ,65681,23,36.51970522,-93.41953625,2745 State Hey 13
5769,MO 13,,Lampe ,65681,23,36.55310409,-93.43680094,5769 State Hwy 13 
5769,MO 13,,Lampe ,65681,23,36.55310409,-93.43680094,5769 State Hwy 13 
428,Persimmon Hill,Lane,Lampe ,65681,23,36.53182101,-93.50231271,428 Persimmon Hill 
604,Quiet Acres,Road,,65681,23,,,604 Quiet Acres
200,Timeline,Road,Lampe ,65681,23,36.56775,-93.483194,200 Timeline Rd
324,Wild Praire,Lane,Lampe ,65681,23,36.55935158,-93.44325498,324 Wild Poouvie
959,Cron,Road,Lampe ,65681,24,36.54388833,-93.45716933,959 Cron Rd
